player,sg_ott
Scottie Scheffler,1.096
Patrick Cantlay,0.949
Rory McIlroy,0.928
Kevin Yu,0.912
Keith Mitchell,0.797
Hayden Buckley,0.757
Viktor Hovland,0.717
Brent Grant,0.697
Cam Davis,0.684
Dean Burmester,0.675
Tyrrell Hatton,0.672
Gary Woodland,0.655
Luke List,0.603
Cameron Young,0.601
Adam Scott,0.569
Jon Rahm,0.543
Sungjae Im,0.538
Corey Conners,0.51
Will Gordon,0.51
Shane Lowry,0.488
Davis Thompson,0.488
Sam Stevens,0.474
Trevor Cone,0.467
Garrick Higgo,0.467
Cameron Champ,0.448
Jason Day,0.448
Collin Morikawa,0.428
Austin Eckroat,0.423
S.H. Kim,0.415
Si Woo Kim,0.412
Matt Fitzpatrick,0.41
Brandon Matthews,0.405
Tony Finau,0.376
Brian Harman,0.369
MJ Daffue,0.364
Michael Gligic,0.355
Byeong Hun An,0.342
Xander Schauffele,0.338
Patrick Rodgers,0.329
Keegan Bradley,0.315
Lucas Herbert,0.303
Tom Kim,0.291
Akshay Bhatia,0.287
Vincent Norrman,0.287
Tyler Duncan,0.283
Lee Hodges,0.283
Sam Burns,0.277
Carl Yuan,0.266
Aaron Rai,0.265
Taylor Moore,0.258
Alex Smalley,0.258
Jordan Spieth,0.258
Taylor Pendrith,0.254
Tommy Fleetwood,0.234
Justin Thomas,0.233
Wyndham Clark,0.231
Emiliano Grillo,0.228
Stephan Jaeger,0.228
Brandon Wu,0.223
James Hahn,0.215
J.J. Spaun,0.214
Joseph Bramlett,0.212
Joel Dahmen,0.204
Kyle Westmoreland,0.192
Rickie Fowler,0.176
Ryan Palmer,0.176
Zecheng Dou,0.174
Lucas Glover,0.168
Erik Barnes,0.148
Max Homa,0.138
Cody Gribble,0.117
Beau Hossler,0.116
Adam Svensson,0.114
Nick Hardy,0.113
K.H. Lee,0.109
Cameron Percy,0.097
Kevin Chappell,0.096
Scott Stallings,0.096
Dylan Wu,0.094
Tano Goya,0.09
Hideki Matsuyama,0.088
Matti Schmid,0.084
Kramer Hickok,0.08
Bill Haas,0.076
Callum Tarren,0.076
Michael Kim,0.075
Michael Thompson,0.072
Charley Hoffman,0.065
J.T. Poston,0.054
Seamus Power,0.05
Adam Hadwin,0.048
Ben Martin,0.039
Scott Harrington,0.027
Adam Schenk,0.024
Matt Kuchar,0.022
Austin Smotherman,0.019
Russell Henley,0.015
Justin Suh,0.014
Doug Ghim,0.001
Thomas Detry,-0.003
Nick Taylor,-0.003
Ben Griffin,-0.005
Denny McCarthy,-0.011
Justin Rose,-0.014
Chris Kirk,-0.019
Taylor Montgomery,-0.026
Carson Young,-0.026
Kevin Tway,-0.029
Matt NeSmith,-0.036
Andrew Landry,-0.037
Augusto Núñez,-0.041
Sepp Straka,-0.044
Trey Mullinax,-0.045
Kyle Stanley,-0.051
Kevin Streelman,-0.056
Doc Redman,-0.057
Greyson Sigg,-0.061
Kurt Kitayama,-0.081
Jim Herman,-0.089
Danny Willett,-0.091
Nico Echavarria,-0.096
Davis Riley,-0.105
Mark Hubbard,-0.118
Tom Hoge,-0.123
Erik van Rooyen,-0.125
Kevin Roy,-0.126
Stewart Cink,-0.135
Henrik Norlander,-0.136
Ryan Gerard,-0.139
Ben Taylor,-0.139
David Lipsky,-0.14
Nate Lashley,-0.144
Zach Johnson,-0.145
Jimmy Walker,-0.145
Sahith Theegala,-0.148
Chesson Hadley,-0.159
Aaron Wise,-0.17
Harrison Endycott,-0.175
Andrew Novak,-0.179
Eric Cole,-0.184
Patton Kizzire,-0.185
Sean O'Hair,-0.186
Trevor Werbylo,-0.186
Richy Werenski,-0.194
Danny Lee,-0.198
Jason Dufner,-0.209
Ryan Armour,-0.21
Chad Ramey,-0.227
Harry Hall,-0.231
Justin Lower,-0.235
Scott Piercy,-0.238
Robert Streb,-0.238
Jonathan Byrd,-0.243
Brice Garnett,-0.245
Chez Reavie,-0.251
Scott Brown,-0.257
Chris Stroud,-0.27
Mackenzie Hughes,-0.281
Adam Long,-0.285
Christiaan Bezuidenhout,-0.31
Ryan Moore,-0.313
Robby Shelton,-0.322
Ryan Brehm,-0.328
Francesco Molinari,-0.34
Matt Wallace,-0.344
Tyson Alexander,-0.352
Matthias Schwab,-0.367
Paul Haley II,-0.372
Harris English,-0.378
Troy Merritt,-0.378
Martin Laird,-0.387
Andrew Putnam,-0.389
Sung Kang,-0.392
Zac Blair,-0.394
Webb Simpson,-0.405
Billy Horschel,-0.406
Aaron Baddeley,-0.423
Kelly Kraft,-0.425
Brendon Todd,-0.433
Alex Noren,-0.444
Dylan Frittelli,-0.449
David Lingmerth,-0.481
Maverick McNealy,-0.488
Hank Lebioda,-0.49
Sam Ryder,-0.511
Harry Higgs,-0.52
William McGirt,-0.53
S.Y. Noh,-0.611
Martin Trainer,-0.626
Peter Malnati,-0.636
Austin Cook,-0.667
Max McGreevy,-0.671
Russell Knox,-0.757
Luke Donald,-0.83
Rory Sabbatini,-0.859
Kevin Kisner,-1.017
Brian Stuard,-1.121
Nick Watney,-1.469