player,sg_t2g
Scottie Scheffler,2.775
Jon Rahm,1.847
Rory McIlroy,1.841
Tony Finau,1.65
Collin Morikawa,1.574
Patrick Cantlay,1.563
Tyrrell Hatton,1.465
Xander Schauffele,1.394
Kevin Yu,1.391
Tommy Fleetwood,1.322
Viktor Hovland,1.298
Rickie Fowler,1.25
Jason Day,1.209
Si Woo Kim,1.171
Justin Thomas,1.135
Max Homa,1.08
Shane Lowry,1.072
Corey Conners,1.046
Justin Rose,1.019
Sungjae Im,1.011
Hideki Matsuyama,0.992
Byeong Hun An,0.988
Tom Kim,0.978
Gary Woodland,0.954
Jordan Spieth,0.952
Wyndham Clark,0.939
Aaron Rai,0.882
Cameron Young,0.862
Joseph Bramlett,0.858
Stephan Jaeger,0.772
Luke List,0.746
Nick Taylor,0.74
Matt Fitzpatrick,0.718
Mark Hubbard,0.709
Chris Kirk,0.678
Russell Henley,0.672
Cam Davis,0.659
Alex Smalley,0.637
Matt Kuchar,0.624
Patrick Rodgers,0.584
K.H. Lee,0.55
Sam Stevens,0.548
Akshay Bhatia,0.547
Tom Hoge,0.543
Keegan Bradley,0.537
Charley Hoffman,0.522
Dylan Wu,0.522
J.J. Spaun,0.52
Joel Dahmen,0.497
Eric Cole,0.484
Ryan Palmer,0.481
Adam Hadwin,0.469
Adam Scott,0.458
Keith Mitchell,0.447
Emiliano Grillo,0.445
Dean Burmester,0.429
Sepp Straka,0.415
Austin Eckroat,0.411
Will Gordon,0.407
Lee Hodges,0.381
Hayden Buckley,0.372
Kevin Chappell,0.371
Ben Griffin,0.371
Vincent Norrman,0.356
Ryan Gerard,0.35
David Lipsky,0.347
Lucas Glover,0.343
Erik Barnes,0.326
Michael Kim,0.312
Adam Schenk,0.271
Kurt Kitayama,0.27
Adam Svensson,0.27
Andrew Novak,0.268
Denny McCarthy,0.265
Nate Lashley,0.262
Robby Shelton,0.257
Brendon Todd,0.253
Brandon Wu,0.251
Matt NeSmith,0.234
Ben Martin,0.225
Taylor Moore,0.219
Garrick Higgo,0.207
Greyson Sigg,0.206
Kevin Roy,0.203
Brian Harman,0.199
Scott Piercy,0.194
Doug Ghim,0.189
Davis Thompson,0.188
Andrew Putnam,0.183
Sahith Theegala,0.18
Sean O'Hair,0.175
Thomas Detry,0.172
S.H. Kim,0.166
Nick Hardy,0.159
Chris Stroud,0.159
Augusto Núñez,0.145
James Hahn,0.122
Kevin Streelman,0.119
Sam Burns,0.118
Beau Hossler,0.093
Matt Wallace,0.087
Christiaan Bezuidenhout,0.083
Danny Willett,0.082
J.T. Poston,0.074
Kramer Hickok,0.067
Aaron Baddeley,0.053
Cameron Percy,0.013
Davis Riley,0.013
Harris English,-0.028
Ryan Moore,-0.04
Alex Noren,-0.053
Michael Thompson,-0.054
Jonathan Byrd,-0.057
Mackenzie Hughes,-0.076
MJ Daffue,-0.087
Carson Young,-0.11
Taylor Pendrith,-0.118
Danny Lee,-0.119
Zac Blair,-0.123
Carl Yuan,-0.132
Seamus Power,-0.134
Zecheng Dou,-0.141
Jimmy Walker,-0.157
Cody Gribble,-0.168
Trey Mullinax,-0.18
Scott Stallings,-0.18
Tano Goya,-0.184
Jason Dufner,-0.186
Ben Taylor,-0.189
Henrik Norlander,-0.211
Patton Kizzire,-0.245
Harry Hall,-0.263
Taylor Montgomery,-0.263
Ryan Armour,-0.268
Russell Knox,-0.301
Brice Garnett,-0.309
Sam Ryder,-0.312
Kyle Westmoreland,-0.34
Chez Reavie,-0.348
Kevin Tway,-0.35
Stewart Cink,-0.373
Chesson Hadley,-0.377
Tyler Duncan,-0.381
Callum Tarren,-0.394
Austin Smotherman,-0.395
Harrison Endycott,-0.409
Justin Suh,-0.419
Webb Simpson,-0.421
Robert Streb,-0.424
Francesco Molinari,-0.437
Trevor Cone,-0.464
Erik van Rooyen,-0.488
Luke Donald,-0.491
Scott Harrington,-0.491
Austin Cook,-0.507
Cameron Champ,-0.518
Brent Grant,-0.519
William McGirt,-0.551
Matti Schmid,-0.552
Martin Laird,-0.567
Kyle Stanley,-0.617
David Lingmerth,-0.636
Billy Horschel,-0.649
Troy Merritt,-0.666
Adam Long,-0.67
Paul Haley II,-0.679
Justin Lower,-0.687
Doc Redman,-0.688
Aaron Wise,-0.696
Jim Herman,-0.701
Peter Malnati,-0.723
Matthias Schwab,-0.73
Maverick McNealy,-0.742
Zach Johnson,-0.751
Lucas Herbert,-0.791
Tyson Alexander,-0.836
Scott Brown,-0.853
Michael Gligic,-0.859
Chad Ramey,-0.865
Trevor Werbylo,-0.909
Sung Kang,-0.934
Bill Haas,-1.021
Brandon Matthews,-1.025
Nico Echavarria,-1.026
Richy Werenski,-1.031
Martin Trainer,-1.064
Dylan Frittelli,-1.084
Hank Lebioda,-1.09
Brian Stuard,-1.124
S.Y. Noh,-1.217
Andrew Landry,-1.315
Harry Higgs,-1.429
Ryan Brehm,-1.546
Kelly Kraft,-1.716
Max McGreevy,-1.767
Nick Watney,-1.888
Rory Sabbatini,-1.898
Kevin Kisner,-2.131